2022-01-05T10:39:32,idl.log,LC21B049000G2,InspurDiagnose:,"|2022-01-05T10:39:32+08:00|MAINBOARD|Deassert|Critical|12FF0202|System_Error SYS Error  IERR .| 
"
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: ChaDramRule.Data for SadIndex 0xa in Skt 0x1 is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: ChaDramRule.Data for SadIndex 0xb in Skt 0x1 is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: ChaDramRule.Data for SadIndex 0xc in Skt 0x1 is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: ChaDramRule.Data for SadIndex 0xd in Skt 0x1 is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: ChaDramRule.Data for SadIndex 0xe in Skt 0x1 is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: ChaDramRule.Data for SadIndex 0xf in Skt 0x1 is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSad: 0x6a6dea40 doesn't belong to any of the sockets 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateSad is failing 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateSad is successful 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: SocketId is 0x0, ControllerId is 0x0,ChannelId is 0x0 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: MeshN1TadRd.Bits.addresslimit:0x40, MeshN0TadRd.Bits.addresslimit:0x1f "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: PrevSad2TadLimit is 0x0 for Tad 0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: Sad2TadLimit is 0x4080000000 for Tad 0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: reading fail TadChnIlvOffsetN0 : SktId:0x00, SktCh:0x00, TadIndex:01, retval = -1 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: reading fail TadChnIlvOffsetN1 : SktId:0x00, SktCh:0x00, TadIndex:01, retval = -1 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: TadOffset is 0x0 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: TgtInterleaveBit:0x6 , ChInterleaveBit:0x6 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad: TgtWays:0x1, ChWays:0x1 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateTad ChannelAddress is 0x6a6dea40 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateTAD is successful 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateRir: RIRWaynessLimit.Data is 0x0, RirLimit is 0x0 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateRir: RIRWaynessLimit.Data is 0x0, RirLimit is 0x0 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,inspur_monitor_app:,"[1105 : 1855 CRITICAL]Analyze CPLD Alert,read CPLD Alert status (byte1-2):byte1=0x0,byte2=0x0,i=5 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,inspur_monitor_app:,"[1105 : 1855 CRITICAL]MB ERRORLOG, record 8 bytes.#012now(byte0~7) : Byte0=0x07, Byte1=0xff, Byte2=0xec, Byte3=0xfc, Byte4=0xf7, Byte5=0xff, Byte6=0xff, Byte7=0x1d; #012former : Byte0=0x07, Byte1=0xff, Byte2=0xec, Byte3=0xfc, Byte4=0xf7, Byte5=0xdd, Byte6=0xff, Byte7=0x3f; "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateRir: RIRWaynessLimit.Data is 0x0, RirLimit is 0x0 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 INFO]【DimmAddressDecode】TranslateRir: RIRWaynessLimit.Data is 0x0, RirLimit is 0x0 "
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateRir is failing 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateRir is successful 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateRankAddress is failing 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】TranslateSystemAddress: TranslateRankAddress is successful 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,[3422 : 3435 INFO]【DimmAddressDecode】SystemAddressToDimmAddress:Forward Address Translation is not Successful!! 
2022-01-05T10:39:32,maintenance.log,LC21B049000G2,InspurMcaDiagnose:,"[3422 : 3435 WARNING]in DRAM area, fail to parse, processed as cpu "
