2021-12-31T18:26:47,idl.log,LC21C11800171,InspurDiagnose:,"|2021-12-31T18:26:47+08:00|MEMORY|Assert|Info|0C2C0500|DIMM130 Correctable ECC or other correctable memory error logging limit reached Memory(CPU1-CH3-DIMM0) Error| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C11800171_2022-01-07-17-23/onekeylog/log/idl.log:191:<162>  2021-12-31T18:26:47.397180+08:00 LC21C11800171 InspurDiagnose:   |2021-12-31T18:26:47+08:00|MAINBOARD|Assert|Critical|12FF0202|System_Error SYS Error  IERR  FM_CPU_MSMI_LVT3_N_Long.| 
/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C11800171_2022-01-07-17-23/onekeylog/log/idl.log:192:<162>  2021-12-31T18:26:47.667180+08:00 LC21C11800171 InspurDiagnose:   |2021-12-31T18:26:47+08:00|MAINBOARD|Deassert|Critical|12FF0202|System_Error SYS Error  IERR .| 
"
2021-12-31T18:26:47,selelist.csv,"['Memory DIMM130', 'Correctable ECC logging limit reached', 'Asserted\n/home/maomao/LOG-analysis/Error_logs/Tencent_LC21C11800171_2022-01-07-17-23/onekeylog/log/selelist.csv:42:29', '12/31/2021', '18:26:47', 'System Event System_Error', 'Undetermined system hardware failure', 'Asserted\n']"
2021-12-31T18:26:47,maintenance.log,LC21C11800171,IPMIMain:,"[805 : 863 WARNING]Get Diagnose data from bios, DateHeader: Domain=0, Submodule=0, InfoSrc=0, SMISeriaNo=63, IndicatedNo=31902 "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,IPMIMain:,"[805 : 863 WARNING]Get Diagnose MCA data from bios, ReqLen=198:SocketID: 0, CoreID: 0,  BankNo: 1, MSR_MCG_CONTAIN: 0x0000000000000001, IA32_MCG_STATUS: 0x0000000000000003,  IA32_MCG_CAP: 0x000000000f000c1c, MCA_ERROR_CONTROL: 0x0000000000000005, IA32_MCi_CTL: 0x0000000000000001, IA32_MCi_CTL2: 0x0000000500000000, IA32_MCi_STATUS: 0xbd80000000100134, IA32_MCi_ADDR: 0x0000007f806bac80, IA32_MCi_MISC: 0x0000000000000086, THREAD_SMI_ERR_SRC: 0x0000000000000002, CORE_SMI_ERR_SRC: 0x0000000000000000, UNCORE_SMI_ERR_SRC: 0x0000000000000000,IerrLoggingReg: 0x00000000, McerrLoggingReg: 0x00000301,EMCA_CORE_CSMI_LOG: 0x00000000,EMCA_CORE_CSMI_LOG1: 0x00000000,EMCA_CORE_MSMI_LOG: 0x00000002,EMCA_CORE_MSMI_LOG1: 0x00000000,MCA_ERR_SRC_LOG: 0x00140000, "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,IPMIMain:,"[805 : 863 WARNING] RETRY_RD_CH_NUM:0x0, RETRY_RD_SET2_CH_NUM: 0x0,  RETRY_RD_ERR_LOG: 0x00000000, RETRY_RD_ERR_LOG_MISC: 0x00000000, RETRY_RD_ERR_LOG_PARITY: 0x00000000, RETRY_RD_ERR_LOG_ADDRESS1: 0x00000000, RETRY_RD_ERR_LOG_ADDRESS2: 0x00000000,RETRY_RD_ERR_LOG_ADDRESS3N0: 0x00000000,RETRY_RD_ERR_LOG_ADDRESS3N1: 0x00000000, RETRY_RD_ERR_SET2_LOG: 0x00000000,  RETRY_RD_ERR_SET2_LOG_MISC: 0x00000000, RETRY_RD_ERR_SET2_LOG_PARITY: 0x00000000,RETRY_RD_ERR_SET2_LOG_ADDRESS1: 0x00000000, RETRY_RD_ERR_SET2_LOG_ADDRESS2: 0x00000000, RETRY_RD_ERR_SET2_LOG_ADDRESS3N0: 0x00000000, RETRY_RD_ERR_SET2_LOG_ADDRESS3N1: 0x00000000 "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,InspurMcaDiagnose:,"[3283 : 3294 WARNING]InspurBiosDiagnoseSelAnaly, DateHeader: Domain=1, Submodule=0, InfoSrc=0, SMISeriaNo=33, IndicatedNo=11236 "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,IPMIMain:,"[805 : 862 INFO]BIOS SEL FROM BMC: SensorType=0x0C, SensorNum=0xF9, EvtDirType=0x6F, Data:0xA5, 0x02, 0x14 "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,IPMIMain:,"[805 : 862 INFO]BIOS SEL: SensorType=0x0C, SensorNum=0xF9, EvtDirType=0x6F, Data:0xA5, 0x02, 0x14.PSGood:1 "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,inspur_monitor_app:,"[1117 : 1869 CRITICAL]Analyze CPLD Alert,read CPLD Alert status (byte1-2):byte1=0x20,byte2=0x0,i=5 "
2021-12-31T18:26:47,maintenance.log,LC21C11800171,InspurDiagnose:,|2021-12-31T18:26:47+08:00|MAINBOARD|Assert|Info|15FFB400|MCE Error   FM_CPU_MSMI_LVT3_N_Pulse.| 
2021-12-31T18:26:47,maintenance.log,LC21C11800171,inspur_monitor_app:,"[1117 : 1869 CRITICAL]MB ERRORLOG, record 8 bytes.#012now(byte0~7) : Byte0=0x07, Byte1=0xff, Byte2=0xec, Byte3=0xfc, Byte4=0xf7, Byte5=0xcc, Byte6=0xff, Byte7=0x50; #012former : Byte0=0xff, Byte1=0xff, Byte2=0xec, Byte3=0xfc, Byte4=0xf7, Byte5=0xff, Byte6=0xff, Byte7=0xff; "
