2022-01-09T03:33:28,idl.log,LC21C12900064,InspurDiagnose:,"|2022-01-09T03:33:28+08:00|MAINBOARD|Assert|Critical|12FF0202|System_Error SYS Error  IERR  FM_CPU_CATERR_LVT3_N_Long.| 
"
2022-01-09T03:33:28,selelist.csv,"['System Event System_Error', 'Undetermined system hardware failure', 'Asserted\n']"
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x1 0xa3 0x81 0x50 0x17 0 Rsp:0. 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x1 0xa3 0x81 0x52 0x17 0 Rsp:0. 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x1 0xa3 0x81 0x54 0x17 0 Rsp:0. 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,inspur_monitor_app:,"[1117 : 1845 CRITICAL]Analyze CPLD Alert,read CPLD Alert status (byte1-2):byte1=0x20,byte2=0x0,i=5 "
2022-01-09T03:33:28,maintenance.log,LC21C12900064,inspur_monitor_app:,"[1117 : 1845 CRITICAL]MB ERRORLOG, record 12 bytes.#012now(byte0~11) : Byte0=0x0b, Byte1=0xff, Byte2=0xec, Byte3=0xfc, Byte4=0xf7, Byte5=0xf5, Byte6=0xff, Byte7=0xff, Byte8=0xcf, Byte9=0xcf, Byte10=0xff, Byte11=0x87; #012former : Byte0=0x0b, Byte1=0xff, Byte2=0xec, Byte3=0xfc, Byte4=0xf7, Byte5=0xff, Byte6=0xff, Byte7=0xff, Byte8=0xcf, Byte9=0xcf, Byte10=0xff, Byte11=0x7d; "
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x1 0xbd 0x81 0x50 0x17 0 Rsp:0. 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x1 0xbd 0x81 0x52 0x17 0 Rsp:0. 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x1 0xbd 0x81 0x54 0x17 0 Rsp:0. 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,InspurMcaDiagnose:,[3306 : 3317 INFO]【MCAProgressTask】Get register start time: 2022-01-09T03:33:28 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,InspurMcaDiagnose:,[3306 : 3317 INFO]【MCAProgressTask】 Before read  cpu register data sleep 90s 
2022-01-09T03:33:28,maintenance.log,LC21C12900064,IPMIMain:,|IPMI|IPMB|NA|Operation:Platform Event NetFn:0x4 CMD:0x2 Req:0x4 0x21 0x80 0x8 0xf1 0xc 0x7 Rsp:0. 
