filename,microcode, Error
Tencent_FX21A1600076J_2022-01-08-00-56,,
Tencent_LC21B2490007N_2022-01-17-09-55,revision=0x7000020,"[    8.213033] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.208725] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2190290004V_2022-01-08-02-16,revision=0x7000020,"[    8.211815] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.213439] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.210978] ERST: Error Record Serialization Table (ERST) support is initialized.
[    8.209892] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC2172690000Y_2022-01-05-10-25,,"FATAL: Error inserting nvidia_uvm (/lib/modules/3.10.107-1-tlinux2_pxe_mlnx-0047/extra/nvidia-uvm.ko): No such device
FATAL: Error inserting nvidia (/lib/modules/3.10.107-1-tlinux2_pxe_mlnx-0047/extra/nvidia.ko): No such device
"
Tencent_LC21B239000BN_2022-01-17-09-55,revision=0x7000020,"[    8.218590] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    8.209955] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_FX21B1300052G_2021-12-30-09-46,revision=0xd0002c1,"[    7.067847] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.070987] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.050835] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.071757] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.068168] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.068394] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.059203] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.063344] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.067684] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.060113] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21B049000G2_2022-01-17-09-55,revision=0xd0002c1,"[    7.133667] ERST: Error Record Serialization Table (ERST) support is initialized.
[    0.000000] ACPI Error: Gpe0Block - 32-bit FADT register is too long (32 bytes, 256 bits) to convert to GAS struct - 255 bits max, truncating (20130328/tbfadt-202)
[    7.139281] ERST: Error Record Serialization Table (ERST) support is initialized.
[    7.146931] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LN2172410001F_2022-01-08-00-56,revision=0xd0002c1,"[    5.749431] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.736708] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.762320] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.736383] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.746935] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.751925] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.731551] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.739652] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.751100] ERST: Error Record Serialization Table (ERST) support is initialized.
[    5.738059] ERST: Error Record Serialization Table (ERST) support is initialized.
"
Tencent_LC21C12900064_2022-01-17-09-55,,
Tencent_LC21A1090001L_2022-01-07-17-23,revision=0xd0002c1,"[   21.831799] ERST: Error Record Serialization Table (ERST) support is initialized.
[   21.816311] ERST: Error Record Serialization Table (ERST) support is initialized.
"
